1 1 -1.27 -1.6
2 1 -0.88 -0.55
3 1 -2.34 -0.85
4 1 0.2 -0.32
5 1 -0.62 0.38
6 1 -2.93 -1.71
7 1 -2.27 -2.16
8 1 -0.69 -0.42
9 1 -0.19 -1.08
10 1 -1.17 -1.61
11 1 -0.3 -0.81
12 1 -1.71 -1.59
13 1 -1.04 -1.25
14 1 -1.95 -0.53
15 1 -0.73 -2.34
16 1 -0.47 -2.03
17 1 -1.63 -2.06
18 1 -1.37 -2.04
19 1 -1.42 -0.9
20 1 -1.39 -0.74
21 1 -0.9 -1.75
22 1 -2 -1.37
23 1 0.35 -0.47
24 1 0.34 -1.51
25 1 -3.4 -0.81
26 1 -0.73 -1.14
27 1 0.34 -1.03
28 1 -1.31 -3.07
29 1 -0.86 -2.24
30 1 -0.4 1.06
31 1 0.39 -1.01
32 1 0.62 0.08
33 1 -1.84 -0.35
34 1 -1.49 -0.86
35 1 -1.57 0.62
36 1 -1.3 0.36
37 1 1.34 -1.78
38 1 -2.07 -0.58
39 1 -1.58 -0.22
40 1 -3.54 0.02
41 1 -0.24 -1.12
42 1 0.69 0.28
43 1 -0.21 -1.07
44 1 -0.85 -1.48
45 1 -0.75 -4.62
46 1 -0.77 -1.44
47 1 -0.74 -1.97
48 1 -0.85 -1.32
49 1 2.24 -0.33
50 1 -2.86 -1.41
51 2 5.62 3.35
52 2 6.37 3.96
53 2 8.04 3.45
54 2 7.94 4.82
55 2 6.51 5.57
56 2 4.34 4.01
57 2 5.69 4.8
58 2 6.18 5.53
59 2 6.64 4.97
60 2 6.67 3.1
61 2 6.8 4.99
62 2 6.1 4.49
63 2 7.13 4.12
64 2 5.48 4.13
65 2 5.77 4.56
66 2 5.62 3.67
67 2 6.89 4.13
68 2 6.26 3.3
69 2 6.33 2.02
70 2 5.06 3.18
71 2 5.03 4.34
72 2 7.02 2.98
73 2 4.68 4.14
74 2 7.73 5.3
75 2 6.98 1.62
76 2 5.78 3.63
77 2 6.05 3.95
78 2 8.53 4.44
79 2 4.47 4.36
80 2 6.02 5.44
81 3 -2.17 8.1
82 3 -1.03 8.95
83 3 -1.25 7.29
84 3 -2.34 7.69
85 3 -1.48 8.82
86 3 -0.51 7.67
87 3 -1.68 7.57
88 3 -2 7.28
89 3 -1.77 7.65
90 3 -0.43 7.83
91 3 -1.39 7.44
92 3 -1.13 7.21
93 3 -1.9 6.82
94 3 -3.71 7.14
95 3 -2.43 8.9
96 3 -2.2 7.64
97 3 -1.64 7.84
98 3 -3.49 7.2
99 3 -0.87 8.7
100 3 -3.63 7.46
