1 1 4.57 0.83
2 1 -1.67 -0.8
3 1 -4.91 -1.6
4 1 -4.18 -0.26
5 1 4.75 -0.14
6 1 -8.92 0.91
7 1 -5.79 -0.71
8 1 -1.28 -1.76
9 1 4.27 -3.31
10 1 -5.07 -2.3
11 1 -9.75 -0.09
12 1 1.37 -1.53
13 1 -4.57 -2.03
14 1 -6 -0.59
15 1 -1.77 -0.85
16 1 -4.06 -0.9
17 1 -6.85 -2.67
18 1 3.61 -0.81
19 1 -6.38 -0.97
20 1 -5.13 -1.49
21 1 2.64 -2.77
22 1 -7.05 -0.13
23 1 -8.11 0.81
24 1 -11.85 -1.16
25 1 -8.08 -0.69
26 1 -3.86 -1.27
27 1 0.84 1.14
28 1 -3.51 -1.15
29 1 -4.96 -1.03
30 1 0.61 0.22
31 1 -3.22 0.6
32 1 2.42 -2.7
33 1 4.07 -0.47
34 1 -2.71 -1.09
35 1 -4.39 0.92
36 1 -3.1 -1.14
37 1 -2.53 0.58
38 1 -1.9 -2.74
39 1 -4.22 -2.12
40 1 -2.76 -1.23
41 1 -4.86 -1.61
42 1 -7.23 -2.69
43 1 -8.03 -1.77
44 1 1.01 -1.5
45 1 -3.92 0.03
46 1 -3.71 -0.96
47 1 -5.73 -1.11
48 1 -0.08 -0.65
49 1 -1 -1.05
50 1 5.45 1.5
51 2 7.8 2.28
52 2 0.27 3.03
53 2 4.92 4.1
54 2 4.96 3.11
55 2 9.11 3.2
56 2 7.62 3.49
57 2 -1.37 3.12
58 2 15.33 4.92
59 2 6.36 4.71
60 2 -3.27 5.12
61 2 6.93 4.15
62 2 9.95 4.53
63 2 6.32 2.56
64 2 7.13 2.79
65 2 0.8 2.54
66 2 -3.86 4.06
67 2 -2.88 2.58
68 2 7.04 3.39
69 2 3.53 3.39
70 2 10.9 4.24
71 2 6.82 2.45
72 2 5.44 2.77
73 2 4.8 3.27
74 2 6.51 4.43
75 2 13.48 3.93
76 2 8.02 5.29
77 2 -5.59 4.98
78 2 10.49 3.56
79 2 7.26 3.83
80 2 9.36 2.81
81 3 -11.67 7.65
82 3 -1.95 8.68
83 3 -4.31 7.76
84 3 0.79 8.95
85 3 3.39 9.38
86 3 -6.63 8.11
87 3 -4.99 8.3
88 3 1.97 9.23
89 3 8.5 7.96
90 3 -3.38 8.11
91 3 -0.08 8.29
92 3 -1.22 9.26
93 3 3.11 6.56
94 3 7.2 8.73
95 3 -5.15 7.34
96 3 -6.59 8.1
97 3 -5.08 7.92
98 3 -2.03 7.18
99 3 6.1 9.95
100 3 9.8 5.99
